n,BruteForceTime,DivideConquerTime
100,0.0006361007690429688,0.0001652240753173828
500,0.016482114791870117,0.0012218952178955078
1000,0.06637310981750488,0.0026688575744628906
2000,0.2731740474700928,0.006386995315551758
5000,1.6550419330596924,0.017110109329223633
10000,6.658038854598999,0.03801608085632324
